Release Date,Movie,Budget,Opening Weekend,Domestic Gross,Worldwide Gross
"Nov 25, 2026",Untitled Disney Animation,,,,
"Nov 27, 2024",Moana 2,"$150,000,000","$139,787,385","$460,259,171","$1,058,058,058"
"Nov 22, 2023",Wish,"$200,000,000","$19,698,228","$63,973,821","$237,954,897"
"Nov 23, 2022",Strange World,"$180,000,000","$12,151,384","$39,089,002","$74,741,679"
"Nov 24, 2021",Encanto,"$150,000,000","$27,206,494","$96,093,622","$231,181,871"
"Jun 4, 2021",Us Again,,,,
"Mar 5, 2021",Raya and the Last Dragon,,"$8,502,498","$54,723,032","$116,203,928"
"Dec 31, 2019",Vampirina: Fang-Tastic Party,,,,"$91,861"
"Nov 22, 2019",Frozen II,"$150,000,000","$130,263,358","$477,373,578","$1,451,653,316"
"Nov 21, 2018",Ralph Breaks The Internet,"$175,000,000","$56,237,634","$201,091,711","$529,290,830"
"Nov 13, 2018",Olaf’s Frozen Adventure,,,,
"Nov 23, 2016",Moana,"$150,000,000","$56,631,401","$248,757,044","$684,654,985"
"Mar 4, 2016",Zootopia,"$150,000,000","$75,063,401","$341,268,248","$1,025,485,003"
"Nov 7, 2014",Big Hero 6,"$165,000,000","$56,215,889","$222,527,828","$647,263,005"
"Nov 22, 2013",Frozen,"$150,000,000","$243,390","$400,953,009","$1,271,023,300"
"Nov 2, 2012",Wreck-It Ralph,"$165,000,000","$49,038,712","$189,412,677","$496,511,521"
"Jul 15, 2011",Winnie the Pooh,"$30,000,000","$7,857,076","$26,692,846","$50,145,607"
"Nov 24, 2010",Tangled,"$260,000,000","$48,767,052","$200,821,936","$582,440,151"
"Nov 25, 2009",The Princess and the Frog,"$105,000,000","$786,190","$104,400,899","$270,997,378"
"Nov 21, 2008",Bolt,"$150,000,000","$26,223,128","$114,053,579","$328,015,029"
"Nov 4, 2005",Chicken Little,"$150,000,000","$40,049,778","$135,386,665","$310,043,823"
"Oct 24, 2003",Brother Bear,"$46,000,000","$291,940","$85,336,277","$250,397,798"
"Nov 27, 2002",Treasure Planet,"$100,000,000","$12,083,248","$38,120,554","$91,800,000"
"Jun 8, 2001",Atlantis: The Lost Empire,"$90,000,000","$329,011","$84,052,762","$186,049,020"
"Dec 15, 2000",The Emperor's New Groove,"$100,000,000","$9,812,302","$89,630,573","$169,630,573"
"Dec 31, 1999",Fantasia 2000,"$80,000,000","$2,290,525","$60,507,228","$60,518,248"
"Jun 16, 1999",Tarzan,"$145,000,000","$34,221,968","$171,091,819","$448,191,819"
"Jun 21, 1996",The Hunchback of Notre Dame,"$100,000,000","$21,037,414","$100,138,851","$325,500,000"
"Nov 11, 1992",Aladdin,"$28,000,000","$196,664","$217,350,219","$504,050,219"
"Nov 13, 1991",Beauty and the Beast,"$20,000,000","$162,146","$206,333,165","$438,656,843"
"Aug 13, 1942",Bambi,"$858,000",,"$102,797,000","$268,000,000"
"Dec 21, 1937",Snow White and the Seven Dw…,"$1,488,000",,"$184,925,486","$187,171,725"
Averages,,"$118,198,000","$32,121,085","$168,470,093","$423,990,431"
Totals,32,"$3,191,346,000",,"$4,717,162,602","$12,295,722,487"
