Title,Rating,Duration,Release Date,Genre,Synopsis,Director,Cast,Awards
Wish,PG,1h 35min,"November 22, 2023","Action-Adventure, Animation, Fantasy, Kids & Family",PG,"Chris Buck, Fawn Veerasunthorn","Ariana DeBose, Chris Pine, Alan Tudyk","Nominee - 2024 Golden Globe  for Best Motion Picture, Animated"
Mufasa: The Lion King,PG,1h 58min,20 December 2024,"Action, Adventure, Drama, Family, Musical",PG,Barry Jenkins,"Abdul Salis, Thandiwe Newton, Theo Somolu, Tiffany Boone, Dominique Jennings, Lennie James, Anika Noni Rose, Preston Nyman, Billy Eichner, Kelvin Harrison Jr., Folake Olowofoyeku, Braelyn Rankins, Thuso Mbedu, Joanna Jones, Kagiso Lediga, Mads Mikkelsen, Sheila Atim, Keith David, Aaron Pierre, Blue Ivy Carter, John Kani, Donald Glover, Beyoncé Knowles-Carter, Seth Rogen",N/A
Captain America: Brave New World,13,14 February 2025,"Action-Adventure, Live Action, Science Fiction, Superhero",N/A,13,Julius Onah,"Anthony Mackie, Danny Ramirez, Shira Haas, Carl Lumbly, Xosha Roquemore, Giancarlo Esposito, Liv Tyler, Tim Blake Nelson, Harrison Ford",N/A
Aladdin (2019),7-9PG,2h 8min,24 May 2019,"Adventure, Family, Fantasy",* Terms and Conditions Apply,Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban",N/A
Ant-Man and the Wasp: Quantumania,13,2h 5min,17 February 2023,"Action, Adventure, Comedy, Superhero",* Terms and Conditions Apply,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Jonathan Majors",N/A
Avatar: The Way of Water,3h 12min,15 December 2022,"Action-Adventure, Fantasy, Science Fiction",N/A,* Terms and Conditions Apply,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Jemaine Clement","Nominee - 2023 Academy Award®  for Best Picture


Nominee - 2023 Academy Award®  for Production Design


Nominee - 2023 Academy Award®  for Sound


Winner - 2023 Academy Award®  for Visual Effects"
Avengers: Endgame,10-12-PG,3h 1min,26 April 2019,"Action-Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Scarlett Johansson, Jeremy Renner, Chris Hemsworth, Don Cheadle, Paul Rudd, Chadwick Boseman, Brie Larson, Tom Holland, Evangeline Lilly, Benedict Cumberbatch, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Karen Gillan, Zoë Saldana, Tessa Thompson, Rene Russo",N/A
Avengers: Infinity War,10-12PG,2h 29min,27 April 2018,"Action-Adventure, Fantasy, Science Fiction, Superhero",* Terms and Conditions Apply,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoë Saldana",N/A
Black Panther,10-12PG,2h 14min,16 February 2018,"Action-Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Florence Kasumba",N/A
Black Panther: Wakanda Forever,10-12-PG,2h 43min,11 November 2022,"Action-Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Angela Bassett, Winston Duke, Tenoch Huerta, Florence Kasumba, Dominique Thorne, Michaela Coel, Mabel Cadena, Alex Livinalli, Martin Freeman","Nominee - Angela Bassett - 2023 Academy Award®  for Actress in a Supporting Role


Nominee - 2023 Academy Award®  for Music (Original Song)


Winner - 2023 Academy Award®  for Costume Design


Nominee - 2023 Academy Award®  for Makeup and Hairstyling


Nominee - 2023 Academy Award®  for Visual Effects"
Black Widow,7-9PG,2h 13min,13 August 2021,"Action, Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",N/A
Cruella,,2h 14min,28 May 2021,"Comedy, Crime",* Terms and Conditions Apply,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste, Mark Strong, Tipper Seifert Cleveland, Kayvan Novak, John McCrea, Jamie Demetriou, Niamh Lynch, Andrew Leung, Ed Birch, Dylan Lowe, Paul Bazely, Abraham Popoola, Leo Bill, Ninette Finch, Sarah Crowden",N/A
Coco,PG,1h 46min,24 November 2017,"Animation, Family, Fantasy, Musical",* Terms and Conditions Apply,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Jaime Camil, Alfonso Arau, Herbert Siguenza, Herbert Siguenza, Gabriel Iglesias",N/A
Christopher Robin,7-9PG,1h 44min,28 August 2018,"Drama, Family, Fantasy",* Terms and Conditions Apply,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Ford Davies, Ronke Adekoluejo, Adrian Scarborough",N/A
Deadpool & Wolverine,16,24 July 2024,"Action, Adventure, Science Fiction, Superhero",N/A,* Terms and Conditions Apply,Shawn Levy,"Emma Corrin, Matthew Macfadyen, Karan Soni, Leslie Uggams, Hugh Jackman, Ryan Reynolds, Rob Delaney, Morena Baccarin",N/A
Doctor Strange in the Multiverse of Madness,,2h 6min,06 May 2022,"Action-Adventure, Fantasy, Superhero",* Terms and Conditions Apply,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Rachel McAdams",N/A
Elemental,PG,1h 43min,16 June 2023,"Animation, Comedy, Fantasy, Kids & Family",* Terms and Conditions Apply,Peter Sohn,"Leah Lewis, Mamoudou Athie","Nominee - 2024 Academy Award®  for Animated Feature Film


Nominee - 2024 Golden Globe  for Best Motion Picture, Animated"
Encanto,,1h 42min,26 November 2021,"Adventure, Animation, Fantasy, Kids & Family, Musical",* Terms and Conditions Apply,"Jared Bush, Byron Howard","Stephanie Beatriz, María Cecilia Botero, Mauro Castillo, John Leguizamo, Jessica Darrow, Angie Cepeda, Carolina Gaitán, Diane Guerrero, Wilmer Valderrama, Rhenzy Feliz, Ravi Cabot-Conyers, Adassa Candiani",N/A
Eternals,,2h 37min,05 November 2021,"Action, Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,Chloé Zhao,"Gemma Chan, Richard Madden, Kumail Nanjiani, Lia McHugh, Brian Tyree Henry, Lauren Ridloff, Barry Keoghan, Don Lee, Kit Harington, Salma Hayek, Angelina Jolie",N/A
Dumbo (2019),PG,1h 52min,29 March 2019,"Adventure, Family, Fantasy",* Terms and Conditions Apply,Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Alan Arkin, Nico Parker, Finley Hobbins, Roshan Seth, Lars Eidinger, DeObia Oparei",N/A
Frozen 2,PG,1h 44min,06 December 2019,"Action-Adventure, Animation, Family, Fantasy, Musical",* Terms and Conditions Apply,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciaran Hinds, Alan Tudyk, Hadley Gannaway, Mattea Conforti, AURORA, Alan Tudyk, Libby Stubenrauch, Santino Fontana, Eva Bella",N/A
