Title,Year,IMDb Rating,Genre,Director,Plot
Anora,2024,7.8,"Comedy, Drama, Romance",Sean Baker,"A young escort from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled."
The Brutalist,2024,7.5,Drama,Brady Corbet,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client."
Mickey 17,2025,7.3,"Adventure, Comedy, Fantasy",Bong Joon Ho,"Mickey 17, known as an ""expendable,"" goes on a dangerous journey to colonize an ice planet."
Emilia Pérez,2024,5.4,"Comedy, Crime, Drama",Jacques Audiard,"Emilia Pérez follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self."
The Substance,2024,7.3,"Drama, Horror, Sci-Fi",Coralie Fargeat,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself."
Conclave,2024,7.4,"Drama, Mystery, Thriller",Edward Berger,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of the Catholic Church."
A Complete Unknown,2024,7.7,"Biography, Drama, Music",James Mangold,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
A Real Pain,2024,7.2,"Comedy, Drama",Jesse Eisenberg,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
Eu Ainda Estou Aqui,2023,N/A,"Drama, Thriller",Hudson Glauber,N/A
The Gorge,2025,6.8,"Action, Adventure, Horror",Scott Derrickson,"Two highly-trained operatives become close after being sent to protect opposite sides of a mysterious gorge. When an evil emerges, they must work together to survive what lies within."
Nosferatu,2024,7.3,"Fantasy, Horror, Mystery",Robert Eggers,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Captain America: Brave New World,2025,6.0,"Action, Adventure, Sci-Fi",Julius Onah,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
Companion,2025,7.4,"Sci-Fi, Thriller",Drew Hancock,A billionaire's death sets off a chain of events for Iris and her friends during a weekend trip to his lakeside estate.
The Monkey,2025,7.0,Horror,Osgood Perkins,"When twin brothers Bill and Hal find their father's old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years."
The Woman in the Yard,2025,N/A,"Drama, Horror, Thriller",Jaume Collet-Serra,"A mysterious woman who repeatedly appears in a family's front yard, often delivering chilling warnings or unsettling messages, leaving the residents to question her identity, motives, and the potential danger she might pose."
The Apprentice,2024,7.1,"Biography, Drama, History",Ali Abbasi,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
No Other Land,2024,8.3,Documentary,"Yuval Abraham, Basel Adra, Hamdan Ballal",This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Y...
The Electric State,2025,6.0,"Action, Adventure, Comedy","Anthony Russo, Joe Russo","An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick."
Nickel Boys,2024,7.4,Drama,RaMell Ross,"Based on the Pulitzer Prize-winning novel by Colson Whitehead, ""Nickel Boys"" chronicles the powerful friendship between two young African-American men navigating the harrowing trials of reform school together in Florida."
Shrek 5,2026,N/A,"Animation, Adventure, Comedy","Walt Dohrn, Conrad Vernon, Brad Ableson",Plot unknown.
Last Breath,2019,7.7,Documentary,"Richard da Costa, Alex Parkinson",A deep sea diver is stranded on the seabed with 5 minutes of oxygen and no hope of rescue. With access to amazing archive this is the story of one man's impossible fight for survival.
Heart Eyes,2025,N/A,"Comedy, Horror, Mystery",Josh Ruben,"For the past several years, the ""Heart Eyes Killer"" has wreaked havoc on Valentine's Day by stalking and murdering romantic couples. This Valentine's Day, no couple is safe."
