Rank,Title,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225",2015
2,Avengers: Endgame,"$858,373,000",2019
3,Spider-Man: No Way Home,"$814,866,759",2021
4,Avatar,"$785,221,649",2009
5,Top Gun: Maverick,"$718,732,821",2022
6,Black Panther,"$700,426,566",2018
7,Avatar: The Way of Water,"$684,075,767",2022
8,Avengers: Infinity War,"$678,815,482",2018
9,Titanic,"$674,354,882",1997
10,Jurassic World,"$653,406,625",2015
11,Inside Out 2,"$652,980,194",2024
12,Deadpool & Wolverine,"$636,745,858",2024
13,Barbie,"$636,238,421",2023
14,The Avengers,"$623,357,910",2012
15,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",2017
16,Incredibles 2,"$608,581,744",2018
17,The Super Mario Bros. Movie,"$574,934,330",2023
18,The Lion King,"$543,638,043",2019
19,The Dark Knight,"$534,987,076",2008
20,Rogue One: A Star Wars Story,"$533,539,991",2016
21,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542",2019
22,Beauty and the Beast,"$504,481,165",2017
23,Star Wars: Episode I - The Phantom Menace,"$487,576,624",1999
24,Finding Dory,"$486,295,561",2016
25,Frozen II,"$477,373,578",2019
26,Wicked,"$473,231,120",2024
27,Star Wars: Episode IV - A New Hope,"$460,998,507",1977
28,Moana 2,"$460,233,062",2024
29,Avengers: Age of Ultron,"$459,005,868",2015
30,Black Panther: Wakanda Forever,"$453,829,060",2022
31,The Dark Knight Rises,"$448,149,584",2012
32,Shrek 2,"$444,978,202",2004
33,E.T. the Extra-Terrestrial,"$439,454,989",1982
34,Toy Story 4,"$434,038,008",2019
35,Captain Marvel,"$426,829,839",2019
36,The Lion King,"$424,979,720",1994
37,The Hunger Games: Catching Fire,"$424,668,047",2013
38,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812",2006
39,Jurassic World: Fallen Kingdom,"$417,719,760",2018
40,Toy Story 3,"$415,004,880",2010
41,Wonder Woman,"$412,845,172",2017
42,Doctor Strange in the Multiverse of Madness,"$411,331,607",2022
43,Iron Man 3,"$409,013,994",2013
44,Captain America: Civil War,"$408,084,349",2016
45,The Hunger Games,"$408,010,692",2012
46,Spider-Man,"$407,774,549",2002
47,Jurassic Park,"$407,185,075",1993
48,Jumanji: Welcome to the Jungle,"$404,540,171",2017
49,Transformers: Revenge of the Fallen,"$402,111,870",2009
50,Frozen,"$400,953,009",2013
51,Spider-Man: Far from Home,"$391,283,774",2019
52,Guardians of the Galaxy Vol. 2,"$389,813,101",2017
53,The Lord of the Rings: The Return of the King,"$381,878,219",2003
54,Spider-Man: Across the Spider-Verse,"$381,593,754",2023
55,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587",2011
56,Finding Nemo,"$380,843,261",2003
57,Star Wars: Episode III - Revenge of the Sith,"$380,270,577",2005
58,Jurassic World: Dominion,"$376,851,080",2022
59,Spider-Man 2,"$374,337,514",2004
60,The Passion of the Christ,"$370,782,930",2004
61,Minions: The Rise of Gru,"$370,549,695",2022
62,The Batman,"$369,345,583",2022
63,The Secret Life of Pets,"$368,623,860",2016
64,Despicable Me 2,"$368,065,385",2013
65,The Jungle Book,"$364,001,123",2016
66,Deadpool,"$363,070,709",2016
67,Despicable Me 4,"$361,004,205",2024
68,Guardians of the Galaxy Vol. 3,"$358,995,815",2023
69,Inside Out,"$356,461,711",2015
70,Aladdin,"$355,559,216",2019
71,Furious 7,"$353,007,020",2015
72,Transformers: Dark of the Moon,"$352,390,543",2011
73,American Sniper,"$350,159,020",2014
74,The Lord of the Rings: The Two Towers,"$345,518,923",2002
75,Thor: Love and Thunder,"$343,256,830",2022
